,id,created_at,retweet_count,user_screen_name,user_followers_count,user_location,Hashtags,text
0,1576119083258388480,2022-10-01 07:57:26+00:00,0,DhirandraSawan,1809,dehradun,"[{'text': 'Rahul', 'indices': [15, 21]}]","@ChobeyManisha #Rahul Gandhi honest ,bold , educated Leader today of India"
1,1576111008979918849,2022-10-01 07:25:21+00:00,1,RjnrCongress,1493,Telangana,[],"RT @Rajkiran071989: After a fresh spell of rainfall, Yatris are back on roads! The enthusiasm and commitment to unite all Indians remain in…"
2,1576065543865786368,2022-10-01 04:24:42+00:00,1,Rajkiran071989,597,,[],"After a fresh spell of rainfall, Yatris are back on roads! The enthusiasm and commitment to unite all Indians remai…"
3,1575765421440892928,2022-09-30 08:32:07+00:00,4,shubhshaurya1,18721,India,"[{'text': 'Congress', 'indices': [120, 129]}]",RT @DeccanHerald: Gundlupet town in Chamarajanagar district bordering Tamil Nadu on Nilgiri Road wore a festive look as #Congress leader #R…
4,1575757414560940032,2022-09-30 08:00:18+00:00,4,DeccanHerald,98033,India,"[{'text': 'Congress', 'indices': [102, 111]}]",Gundlupet town in Chamarajanagar district bordering Tamil Nadu on Nilgiri Road wore a festive look as #Congress lea…
5,1575750802425126914,2022-09-30 07:34:01+00:00,0,cen_faith,53,,"[{'text': 'PMModi', 'indices': [0, 7]}, {'text': 'Rahul', 'indices': [8, 14]}, {'text': 'elections', 'indices': [59, 69]}]",#PMModi #Rahul 1st book of its kind site:Badly defeated in #elections Will Gandhis resurrect
6,1575742238956703747,2022-09-30 07:00:00+00:00,0,THBengaluru,63699,Bengaluru,"[{'text': 'Rahul', 'indices': [44, 50]}, {'text': 'Congress', 'indices': [67, 76]}]","Addressing a public gathering at Gundlupet, #Rahul Gandhi said the #Congress was left with no option but to hit the…"
7,1575721694127214592,2022-09-30 05:38:22+00:00,0,vivekku79289132,2,,"[{'text': 'Rahul', 'indices': [12, 18]}]",Mission2024 #Rahul Gandhi New Song Video Congress Party Song भारत जोडो ... via @YouTube
